x,y,T,u,v,p
0,1.55,300,1,0,0.439229
0,1.6,300,1,0,0.436632
0,1.65,300,1,0,0.434119
0,1.7,300,1,0,0.431683
0,1.75,300,1,0,0.429322
0,1.8,300,1,0,0.427033
0,1.85,300,1,0,0.424813
0,1.9,300,1,0,0.42266
0,1.95,300,1,0,0.420573
0,2,300,1,0,0.418549
0,2.05,300,1,0,0.41659
0,2.1,300,1,0,0.414693
0,2.15,300,1,0,0.412859
0,2.2,300,1,0,0.411088
0,2.25,300,1,0,0.409378
0,2.3,300,1,0,0.407732
0,2.35,300,1,0,0.40615
0,2.4,300,1,0,0.40463
0,2.45,300,1,0,0.403176
0,2.5,300,1,0,0.401787
0,2.55,300,1,0,0.400465
0,2.6,300,1,0,0.399211
0,2.65,300,1,0,0.398026
0,2.7,300,1,0,0.396912
0,2.75,300,1,0,0.395869
0,2.8,300,1,0,0.394902
0,2.85,300,1,0,0.39401
0,2.9,300,1,0,0.393196
0,2.95,300,1,0,0.392464
0,3,300,1,0,0.391815
0,3.05,300,1,0,0.391251
0,3.1,300,1,0,0.390777
0,3.15,300,1,0,0.390395
0,3.2,300,1,0,0.390109
0,3.25,300,1,0,0.389924
0,3.3,300,1,0,0.389843
0,3.35,300,1,0,0.389873
0,3.4,300,1,0,0.390019
0,3.45,300,1,0,0.390287
0,3.5,300,1,0,0.390684
0,3.55,300,1,0,0.39122
0,3.6,300,1,0,0.391901
0,3.65,300,1,0,0.39274
0,3.7,300,1,0,0.393749
0,3.75,300,1,0,0.394942
0,3.8,300,1,0,0.396334
0,3.85,300,1,0,0.397944
0,3.9,300,1,0,0.399794
0,3.95,300,1,0,0.40191
0,4,300,1,0,0.404323
0,4.05,300,1,0,0.407068
0,4.1,300,1,0,0.410189
0,4.15,300,1,0,0.413741
0,4.2,300,1,0,0.417787
0,4.25,300,1,0,0.42241
0,4.3,300,1,0,0.42771
0,4.35,300,1,0,0.433817
0,4.4,300,1,0,0.440899
0,4.45,300,1,0,0.449178
0,4.5,300,1,0,0.458952
0,4.55,300,1,0,0.470631
0,4.6,300,1,0,0.484807
0,4.65,300,1,0,0.502358
0,4.7,300,1,0,0.524657
0,4.75,300,1,0,0.553916
0,4.8,300,1,0,0.593874
0,4.85,300,1,0,0.652258
0,4.9,300,1,0,0.751661
0,4.95,300,1,0,0.934158
0,5,300,1,0,1.05239
